          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

               270   88    0.635 (0.0097)    0.653  0.027 (0.0025)    0.594  0.068 (0.0012)
               290   89    0.637 (0.0089)    0.653  0.025 (0.0024)    0.599  0.063 (0.0012)
               310   90    0.638 (0.0091)    0.655  0.026 (0.0022)    0.598  0.066 (0.0010)
               330   91    0.628 (0.0117)    0.651  0.035 (0.0018)    0.575  0.088 (0.0002)
 CaII triplet  858   92    0.401 (0.1103)    0.638  0.356 (0.0046)   -0.133  0.889 (0.0192)
 WIRE  Johnson V+R   93    0.527 (0.0591)    0.662  0.202 (0.0057)    0.223  0.506 (0.0154)
               LUT   94    0.609 (0.0208)    0.653  0.067 (0.0007)    0.509  0.167 (0.0026)
              TESS   95    0.438 (0.0934)    0.641  0.304 (0.0030)   -0.018  0.760 (0.0167)


          Teff = 3500 K,  log g = 1.5,  [M/H] = -4.5

 bolometric           0    0.269 (0.1135)    0.491  0.333 (0.0176)   -0.231  0.833 (0.0033)
 Stromgren      u     1    0.630 (0.0109)    0.649  0.028 (0.0032)    0.588  0.071 (0.0019)
                v     2    0.640 (0.0079)    0.650  0.015 (0.0044)    0.618  0.037 (0.0037)
                b     3    0.624 (0.0129)    0.651  0.040 (0.0018)    0.564  0.101 (0.0008)
                y     4    0.588 (0.0320)    0.666  0.116 (0.0055)    0.414  0.291 (0.0108)
 Johnson        U     5    0.633 (0.0097)    0.648  0.022 (0.0039)    0.599  0.056 (0.0029)
                B     6    0.625 (0.0134)    0.653  0.042 (0.0017)    0.562  0.105 (0.0008)
                V     7    0.576 (0.0379)    0.668  0.137 (0.0063)    0.371  0.342 (0.0126)
                R     8    0.455 (0.0921)    0.662  0.310 (0.0081)   -0.010  0.776 (0.0229)
                I     9    0.339 (0.1297)    0.607  0.402 (0.0092)   -0.265  1.006 (0.0148)
                J    10    0.217 (0.1369)    0.468  0.377 (0.0331)   -0.349  0.943 (0.0152)
                K    11    0.211 (0.0989)    0.408  0.295 (0.0127)   -0.232  0.737 (0.0031)
                L    12    0.130 (0.0848)    0.289  0.238 (0.0179)   -0.227  0.596 (0.0069)
                M    13    0.117 (0.0716)    0.252  0.203 (0.0142)   -0.188  0.509 (0.0046)
                N    14    0.070 (0.0539)    0.166  0.144 (0.0151)   -0.146  0.360 (0.0082)
 Cousins        Rc   15    0.487 (0.0790)    0.669  0.272 (0.0093)    0.079  0.681 (0.0224)
                Ic   16    0.388 (0.1181)    0.643  0.382 (0.0061)   -0.185  0.956 (0.0222)
 Bessell        UX   17    0.633 (0.0098)    0.648  0.023 (0.0038)    0.598  0.058 (0.0028)
 Bessell        BX   18    0.625 (0.0135)    0.653  0.043 (0.0017)    0.561  0.106 (0.0009)
 Bessell        B    19    0.625 (0.0133)    0.653  0.042 (0.0017)    0.563  0.104 (0.0008)
 Bessell        V    20    0.576 (0.0381)    0.668  0.138 (0.0064)    0.370  0.344 (0.0127)
 Bessell        R    21    0.485 (0.0800)    0.668  0.275 (0.0092)    0.073  0.688 (0.0224)
 Bessell        I    22    0.378 (0.1210)    0.637  0.388 (0.0059)   -0.204  0.971 (0.0209)
 Tycho         TyB   23    0.633 (0.0097)    0.650  0.025 (0.0033)    0.596  0.062 (0.0021)
               TyV   24    0.585 (0.0333)    0.665  0.120 (0.0052)    0.406  0.299 (0.0106)
 Hipparchos    HIP   25    0.539 (0.0545)    0.665  0.189 (0.0061)    0.256  0.472 (0.0152)
 KEPLER              26    0.468 (0.0852)    0.658  0.285 (0.0061)    0.040  0.713 (0.0197)
 COROT SIS           27    0.446 (0.0926)    0.648  0.304 (0.0043)   -0.011  0.761 (0.0184)
 COROT EXO           28    0.443 (0.0939)    0.648  0.308 (0.0043)   -0.020  0.770 (0.0186)
 Geneva         U    29    0.630 (0.0108)    0.649  0.028 (0.0033)    0.588  0.070 (0.0020)
                B    30    0.632 (0.0103)    0.650  0.028 (0.0030)    0.590  0.069 (0.0017)
                B1   31    0.635 (0.0094)    0.650  0.022 (0.0039)    0.603  0.055 (0.0029)
                B2   32    0.629 (0.0112)    0.650  0.032 (0.0025)    0.580  0.081 (0.0010)
                V    33    0.581 (0.0358)    0.667  0.129 (0.0061)    0.387  0.324 (0.0120)
                V1   34    0.591 (0.0308)    0.665  0.112 (0.0051)    0.423  0.279 (0.0101)
                G    35    0.560 (0.0461)    0.671  0.167 (0.0085)    0.310  0.417 (0.0162)
 Vilnius        U    36    0.630 (0.0110)    0.649  0.029 (0.0031)    0.586  0.073 (0.0018)
                P    37    0.633 (0.0095)    0.648  0.022 (0.0040)    0.601  0.054 (0.0030)
                X    38    0.637 (0.0087)    0.649  0.018 (0.0042)    0.609  0.046 (0.0033)
                Y    39    0.624 (0.0132)    0.651  0.041 (0.0018)    0.562  0.103 (0.0009)
                Z    40    0.610 (0.0220)    0.662  0.079 (0.0029)    0.492  0.196 (0.0061)
                V    41    0.589 (0.0314)    0.665  0.114 (0.0054)    0.418  0.285 (0.0105)
                S    42    0.498 (0.0758)    0.675  0.265 (0.0111)    0.100  0.663 (0.0238)
 Milone         iz   43    0.266 (0.1416)    0.540  0.411 (0.0235)   -0.350  1.027 (0.0078)
                iJ   44    0.212 (0.1371)    0.462  0.375 (0.0345)   -0.351  0.938 (0.0166)
                iH   45    0.191 (0.1328)    0.432  0.362 (0.0340)   -0.353  0.905 (0.0166)
                iK   46    0.215 (0.0933)    0.403  0.282 (0.0102)   -0.209  0.705 (0.0044)
 YMS94         iz    47    0.266 (0.1416)    0.540  0.411 (0.0235)   -0.350  1.027 (0.0078)
               iJ    48    0.212 (0.1371)    0.462  0.375 (0.0345)   -0.351  0.938 (0.0166)
               iH    49    0.191 (0.1327)    0.432  0.362 (0.0340)   -0.353  0.905 (0.0166)
               iK    50    0.215 (0.0933)    0.403  0.282 (0.0102)   -0.209  0.705 (0.0044)
               iL    51    0.125 (0.0816)    0.278  0.230 (0.0171)   -0.219  0.574 (0.0064)
               iLp   52    0.122 (0.0782)    0.270  0.222 (0.0155)   -0.210  0.554 (0.0054)
               iM    53    0.123 (0.0739)    0.263  0.210 (0.0146)   -0.193  0.525 (0.0047)
               in    54    0.070 (0.0542)    0.167  0.144 (0.0153)   -0.146  0.361 (0.0084)
               iN    55    0.067 (0.0518)    0.158  0.138 (0.0149)   -0.140  0.344 (0.0083)
 Sloan DSS      u    56    0.632 (0.0103)    0.648  0.025 (0.0036)    0.594  0.063 (0.0024)
                g    57    0.612 (0.0200)    0.658  0.069 (0.0019)    0.508  0.174 (0.0046)
                r    58    0.517 (0.0664)    0.674  0.234 (0.0102)    0.166  0.586 (0.0214)
                i    59    0.405 (0.1124)    0.650  0.368 (0.0067)   -0.147  0.920 (0.0233)
                z    60    0.318 (0.1355)    0.594  0.413 (0.0126)   -0.302  1.033 (0.0126)
 HST STIS Ly_alpha   61    0.711 (0.0006)    0.710 -0.001 (0.0003)    0.712 -0.002 (0.0004)
            Fclear   62    0.772 (0.0381)    0.679 -0.139 (0.0083)    0.981 -0.349 (0.0149)
             Fsrf2   63    0.774 (0.0387)    0.679 -0.142 (0.0086)    0.986 -0.355 (0.0153)
              Fqtz   64    0.765 (0.0352)    0.680 -0.128 (0.0075)    0.957 -0.320 (0.0135)
              CIII   65    0.706 (0.0058)    0.694 -0.019 (0.0005)    0.734 -0.047 (0.0013)
              MgII   66    0.631 (0.0120)    0.656  0.037 (0.0016)    0.575  0.093 (0.0006)
            Nclear   67    0.633 (0.0111)    0.654  0.032 (0.0023)    0.585  0.080 (0.0008)
             Nsrf2   68    0.626 (0.0138)    0.655  0.044 (0.0013)    0.560  0.110 (0.0010)
              Nqtz   69    0.632 (0.0123)    0.657  0.038 (0.0015)    0.575  0.094 (0.0004)
             cn182   70    0.635 (0.0093)    0.650  0.022 (0.0037)    0.603  0.054 (0.0027)
             cn270   71    0.630 (0.0126)    0.655  0.038 (0.0019)    0.573  0.095 (0.0002)
            Oclear   72    0.426 (0.0990)    0.639  0.321 (0.0033)   -0.055  0.802 (0.0172)
         Oclear-lp   73    0.408 (0.1064)    0.637  0.344 (0.0037)   -0.108  0.860 (0.0183)
             [OII]   74    0.633 (0.0090)    0.646  0.019 (0.0042)    0.605  0.048 (0.0034)
            [OIII]   75    0.619 (0.0188)    0.662  0.065 (0.0017)    0.522  0.161 (0.0037)
 2MASS          J    76    0.214 (0.1371)    0.464  0.376 (0.0341)   -0.350  0.939 (0.0162)
 2MASS          H    77    0.191 (0.1316)    0.432  0.360 (0.0332)   -0.349  0.901 (0.0159)
 2MASS          Ks   78    0.214 (0.0962)    0.407  0.289 (0.0112)   -0.220  0.724 (0.0040)
 SWASP               79    0.536 (0.0570)    0.670  0.201 (0.0081)    0.235  0.501 (0.0177)
 MOST                80    0.518 (0.0651)    0.669  0.226 (0.0083)    0.179  0.566 (0.0192)
 GAIA (2006)    G    81    0.456 (0.0887)    0.652  0.293 (0.0047)    0.016  0.733 (0.0185)
 GAIA (2010)    G    82    0.440 (0.0952)    0.648  0.312 (0.0044)   -0.029  0.781 (0.0188)
 GAIA (2010)    BP   83    0.547 (0.0520)    0.670  0.184 (0.0079)    0.271  0.461 (0.0166)
 GAIA (2010)    RP   84    0.384 (0.1168)    0.633  0.374 (0.0049)   -0.178  0.935 (0.0192)
 GAIA (2010)  G_RV   85    0.343 (0.1312)    0.616  0.409 (0.0086)   -0.271  1.023 (0.0170)
 Milone        230   86    0.713 (0.0011)    0.716  0.005 (0.0004)    0.706  0.012 (0.0005)
               250   87    0.656 (0.0095)    0.675  0.029 (0.0014)    0.612  0.073 (0.0003)
               270   88    0.629 (0.0125)    0.654  0.038 (0.0019)    0.573  0.094 (0.0003)
               290   89    0.631 (0.0123)    0.656  0.038 (0.0014)    0.574  0.095 (0.0005)
               310   90    0.631 (0.0127)    0.658  0.040 (0.0012)    0.572  0.099 (0.0008)
               330   91    0.624 (0.0138)    0.652  0.041 (0.0018)    0.562  0.103 (0.0006)
 CaII triplet  858   92    0.344 (0.1309)    0.617  0.409 (0.0085)   -0.269  1.022 (0.0172)
 WIRE  Johnson V+R   93    0.477 (0.0823)    0.663  0.279 (0.0076)    0.059  0.698 (0.0210)
               LUT   94    0.602 (0.0242)    0.654  0.078 (0.0005)    0.485  0.195 (0.0034)
              TESS   95    0.385 (0.1146)    0.629  0.366 (0.0046)   -0.163  0.914 (0.0175)


          Teff = 3500 K,  log g = 2.0,  [M/H] = -4.5

 bolometric           0    0.266 (0.1052)    0.475  0.313 (0.0145)   -0.203  0.781 (0.0026)
 Stromgren      u     1    0.634 (0.0092)    0.647  0.019 (0.0044)    0.606  0.048 (0.0035)
                v     2    0.643 (0.0070)    0.652  0.013 (0.0042)    0.624  0.032 (0.0036)
                b     3    0.616 (0.0174)    0.656  0.060 (0.0016)    0.526  0.151 (0.0037)
                y     4    0.564 (0.0448)    0.673  0.162 (0.0084)    0.321  0.406 (0.0159)
 Johnson        U     5    0.638 (0.0078)    0.647  0.014 (0.0047)    0.617  0.034 (0.0041)
                B     6    0.618 (0.0175)    0.658  0.060 (0.0015)    0.528  0.150 (0.0035)
                V     7    0.553 (0.0503)    0.673  0.180 (0.0086)    0.282  0.451 (0.0171)
                R     8    0.426 (0.1037)    0.654  0.342 (0.0063)   -0.088  0.856 (0.0222)
                I     9    0.316 (0.1345)    0.588  0.408 (0.0134)   -0.296  1.021 (0.0109)
                J    10    0.210 (0.1341)    0.456  0.369 (0.0328)   -0.343  0.922 (0.0152)
                K    11    0.193 (0.0563)    0.309  0.175 (0.0061)   -0.070  0.438 (0.0048)
                L    12    0.142 (0.0567)    0.259  0.175 (0.0046)   -0.120  0.437 (0.0045)
                M    13    0.124 (0.0469)    0.219  0.143 (0.0054)   -0.091  0.358 (0.0026)
                N    14    0.083 (0.0481)    0.176  0.140 (0.0078)   -0.127  0.349 (0.0020)
 Cousins        Rc   15    0.457 (0.0921)    0.665  0.311 (0.0083)   -0.009  0.777 (0.0232)
                Ic   16    0.360 (0.1266)    0.627  0.400 (0.0068)   -0.239  0.999 (0.0185)
 Bessell        UX   17    0.637 (0.0080)    0.647  0.014 (0.0047)    0.616  0.036 (0.0040)
 Bessell        BX   18    0.617 (0.0177)    0.658  0.061 (0.0016)    0.526  0.152 (0.0036)
 Bessell        B    19    0.618 (0.0173)    0.658  0.059 (0.0015)    0.529  0.149 (0.0034)
 Bessell        V    20    0.552 (0.0506)    0.673  0.182 (0.0086)    0.280  0.454 (0.0172)
 Bessell        R    21    0.455 (0.0929)    0.664  0.313 (0.0081)   -0.015  0.783 (0.0231)
 Bessell        I    22    0.351 (0.1287)    0.620  0.403 (0.0078)   -0.254  1.008 (0.0170)
 Tycho         TyB   23    0.631 (0.0110)    0.653  0.033 (0.0023)    0.582  0.082 (0.0010)
               TyV   24    0.564 (0.0446)    0.671  0.160 (0.0075)    0.324  0.400 (0.0150)
 Hipparchos    HIP   25    0.518 (0.0646)    0.665  0.222 (0.0065)    0.185  0.554 (0.0172)
 KEPLER              26    0.442 (0.0952)    0.651  0.313 (0.0048)   -0.028  0.784 (0.0193)
 COROT SIS           27    0.422 (0.1013)    0.640  0.328 (0.0034)   -0.070  0.820 (0.0174)
 COROT EXO           28    0.418 (0.1026)    0.639  0.332 (0.0035)   -0.079  0.829 (0.0174)
 Geneva         U    29    0.634 (0.0091)    0.647  0.019 (0.0044)    0.606  0.047 (0.0035)
                B    30    0.629 (0.0120)    0.654  0.037 (0.0020)    0.573  0.093 (0.0009)
                B1   31    0.637 (0.0087)    0.651  0.020 (0.0038)    0.607  0.050 (0.0028)
                B2   32    0.623 (0.0144)    0.655  0.048 (0.0015)    0.551  0.120 (0.0020)
                V    33    0.557 (0.0483)    0.673  0.174 (0.0086)    0.296  0.435 (0.0167)
                V1   34    0.569 (0.0428)    0.672  0.155 (0.0079)    0.336  0.388 (0.0151)
                G    35    0.532 (0.0604)    0.676  0.216 (0.0104)    0.208  0.540 (0.0206)
 Vilnius        U    36    0.634 (0.0094)    0.647  0.020 (0.0043)    0.604  0.050 (0.0034)
                P    37    0.638 (0.0075)    0.646  0.012 (0.0049)    0.621  0.029 (0.0043)
                X    38    0.640 (0.0077)    0.650  0.016 (0.0041)    0.616  0.040 (0.0033)
                Y    39    0.616 (0.0178)    0.657  0.062 (0.0017)    0.523  0.154 (0.0038)
                Z    40    0.594 (0.0312)    0.671  0.114 (0.0059)    0.423  0.286 (0.0111)
                V    41    0.566 (0.0440)    0.672  0.160 (0.0082)    0.326  0.399 (0.0156)
                S    42    0.465 (0.0904)    0.672  0.309 (0.0104)    0.002  0.773 (0.0252)
 Milone         iz   43    0.252 (0.1410)    0.520  0.403 (0.0266)   -0.352  1.007 (0.0090)
                iJ   44    0.205 (0.1340)    0.449  0.366 (0.0342)   -0.344  0.915 (0.0167)
                iH   45    0.215 (0.1122)    0.430  0.323 (0.0204)   -0.269  0.806 (0.0058)
                iK   46    0.188 (0.0500)    0.293  0.156 (0.0065)   -0.046  0.391 (0.0051)
 YMS94         iz    47    0.252 (0.1410)    0.520  0.403 (0.0266)   -0.352  1.007 (0.0090)
               iJ    48    0.205 (0.1340)    0.449  0.366 (0.0342)   -0.344  0.915 (0.0167)
               iH    49    0.215 (0.1122)    0.430  0.323 (0.0204)   -0.269  0.806 (0.0058)
               iK    50    0.188 (0.0500)    0.293  0.156 (0.0065)   -0.046  0.391 (0.0051)
               iL    51    0.137 (0.0541)    0.249  0.167 (0.0042)   -0.113  0.418 (0.0045)
               iLp   52    0.133 (0.0504)    0.238  0.157 (0.0036)   -0.102  0.392 (0.0045)
               iM    53    0.127 (0.0481)    0.224  0.146 (0.0064)   -0.092  0.364 (0.0023)
               in    54    0.084 (0.0485)    0.178  0.141 (0.0077)   -0.128  0.353 (0.0020)
               iN    55    0.078 (0.0478)    0.169  0.137 (0.0086)   -0.128  0.343 (0.0026)
 Sloan DSS      u    56    0.636 (0.0084)    0.647  0.016 (0.0046)    0.612  0.039 (0.0039)
                g    57    0.598 (0.0277)    0.665  0.100 (0.0042)    0.448  0.250 (0.0087)
                r    58    0.487 (0.0808)    0.673  0.279 (0.0103)    0.068  0.698 (0.0238)
                i    59    0.376 (0.1219)    0.636  0.390 (0.0058)   -0.209  0.974 (0.0202)
                z    60    0.297 (0.1386)    0.573  0.414 (0.0172)   -0.324  1.035 (0.0088)
 HST STIS Ly_alpha   61    0.667 (0.0157)    0.699  0.048 (0.0021)    0.596  0.119 (0.0003)
            Fclear   62    0.771 (0.0328)    0.689 -0.124 (0.0100)    0.958 -0.310 (0.0159)
             Fsrf2   63    0.774 (0.0341)    0.688 -0.129 (0.0104)    0.968 -0.322 (0.0164)
              Fqtz   64    0.763 (0.0297)    0.688 -0.113 (0.0093)    0.932 -0.281 (0.0146)
              CIII   65    0.672 (0.0102)    0.692  0.030 (0.0018)    0.626  0.076 (0.0004)
              MgII   66    0.625 (0.0151)    0.657  0.047 (0.0011)    0.554  0.119 (0.0012)
            Nclear   67    0.631 (0.0122)    0.654  0.035 (0.0025)    0.579  0.087 (0.0009)
             Nsrf2   68    0.621 (0.0167)    0.658  0.055 (0.0008)    0.539  0.136 (0.0021)
              Nqtz   69    0.629 (0.0140)    0.657  0.042 (0.0020)    0.567  0.104 (0.0006)
             cn182   70    0.638 (0.0086)    0.650  0.019 (0.0038)    0.609  0.048 (0.0029)
             cn270   71    0.625 (0.0147)    0.655  0.045 (0.0018)    0.558  0.112 (0.0004)
            Oclear   72    0.403 (0.1068)    0.630  0.341 (0.0039)   -0.108  0.851 (0.0156)
         Oclear-lp   73    0.383 (0.1148)    0.626  0.365 (0.0047)   -0.164  0.912 (0.0164)
             [OII]   74    0.640 (0.0067)    0.644  0.006 (0.0054)    0.630  0.016 (0.0052)
            [OIII]   75    0.604 (0.0267)    0.668  0.096 (0.0041)    0.460  0.241 (0.0082)
 2MASS          J    76    0.207 (0.1341)    0.451  0.367 (0.0338)   -0.344  0.917 (0.0163)
 2MASS          H    77    0.214 (0.1102)    0.426  0.317 (0.0197)   -0.262  0.794 (0.0053)
 2MASS          Ks   78    0.191 (0.0528)    0.302  0.165 (0.0062)   -0.056  0.413 (0.0051)
 SWASP               79    0.511 (0.0692)    0.670  0.240 (0.0086)    0.151  0.599 (0.0201)
 MOST                80    0.492 (0.0770)    0.668  0.263 (0.0081)    0.097  0.659 (0.0208)
 GAIA (2006)    G    81    0.432 (0.0977)    0.644  0.318 (0.0036)   -0.045  0.795 (0.0178)
 GAIA (2010)    G    82    0.415 (0.1039)    0.639  0.335 (0.0036)   -0.088  0.838 (0.0175)
 GAIA (2010)    BP   83    0.522 (0.0643)    0.672  0.225 (0.0087)    0.185  0.561 (0.0195)
 GAIA (2010)    RP   84    0.358 (0.1244)    0.618  0.390 (0.0070)   -0.228  0.976 (0.0160)
 GAIA (2010)  G_RV   85    0.319 (0.1362)    0.596  0.415 (0.0128)   -0.304  1.038 (0.0125)
 Milone        230   86    0.666 (0.0173)    0.701  0.053 (0.0022)    0.587  0.132 (0.0004)
               250   87    0.639 (0.0162)    0.673  0.051 (0.0016)    0.564  0.126 (0.0010)
               270   88    0.625 (0.0145)    0.654  0.044 (0.0019)    0.559  0.110 (0.0003)
               290   89    0.627 (0.0144)    0.656  0.044 (0.0016)    0.561  0.109 (0.0007)
               310   90    0.630 (0.0138)    0.657  0.040 (0.0022)    0.571  0.099 (0.0010)
               330   91    0.626 (0.0131)    0.650  0.035 (0.0033)    0.574  0.087 (0.0019)
 CaII triplet  858   92    0.320 (0.1361)    0.597  0.415 (0.0127)   -0.302  1.038 (0.0127)
 WIRE  Johnson V+R   93    0.450 (0.0937)    0.658  0.312 (0.0063)   -0.018  0.780 (0.0212)
               LUT   94    0.599 (0.0256)    0.654  0.082 (0.0007)    0.476  0.205 (0.0034)
              TESS   95    0.360 (0.1219)    0.615  0.382 (0.0070)   -0.212  0.954 (0.0147)


          Teff = 3500 K,  log g = 2.5,  [M/H] = -4.5

 bolometric           0    0.268 (0.0947)    0.458  0.284 (0.0114)   -0.158  0.711 (0.0037)
 Stromgren      u     1    0.640 (0.0071)    0.643  0.005 (0.0062)    0.633  0.012 (0.0060)
                v     2    0.651 (0.0048)    0.650 -0.002 (0.0052)    0.654 -0.005 (0.0053)
                b     3    0.617 (0.0178)    0.660  0.064 (0.0027)    0.521  0.160 (0.0051)
                y     4    0.558 (0.0495)    0.678  0.180 (0.0100)    0.287  0.450 (0.0184)
 Johnson        U     5    0.645 (0.0056)    0.643 -0.003 (0.0064)    0.650 -0.009 (0.0066)
                B     6    0.621 (0.0169)    0.661  0.060 (0.0022)    0.531  0.150 (0.0044)
